update,episodes_completed,avg_reward,avg_score,policy_loss,value_loss,entropy,clip_frac,kl,action_diversity,unique_states,explained_variance,advantage_std,positive_adv_frac
10,30,27.9,279.0,-0.002391113739577122,23.18353416584432,2.1648131012916565,0.1322021484375,0.0034525296214269474,2.168503910412215,982,0.0,0.0,0.0
20,66,31.333333333333332,313.3333333333333,-0.002143057165085338,0.9594012757297605,2.1352284103631973,0.0760498046875,0.0030861921259202063,2.1552456426041466,951,0.0,0.0,0.0
30,102,34.6764705882353,346.7647058823529,-0.002705074119148776,1.7240688754245639,2.1140760965645313,0.065185546875,0.0024796724610496312,2.1300507454825515,833,0.0,0.0,0.0
40,133,36.61654135338346,366.16541353383457,-0.0008101457060547546,1.894320704974234,2.160494592040777,0.1016845703125,0.002754918226855807,2.167203094510318,1129,0.0,0.0,0.0
50,169,40.40625,404.0625,-0.0013695515372091904,0.5267732995562255,2.0896500386297703,0.0650634765625,0.0016912518040044233,2.101965207733573,888,0.0,0.0,0.0
60,207,41.69375,416.9375,-0.0015551063406746835,1.4438084461726248,2.1431959234178066,0.0467529296875,0.0022573721362277865,2.155001333177436,813,0.0,0.0,0.0
70,245,42.55625,425.5625,-0.0006095772405387834,0.47688699839636683,2.1326060816645622,0.14404296875,0.004410310531966388,2.16136393419132,836,0.0,0.0,0.0
80,285,41.76875,417.6875,-0.0005768857809016481,0.5396608994342387,2.1353554502129555,0.0615234375,0.0023838242486817762,2.1668925709772586,997,0.0,0.0,0.0
90,320,41.06875,410.6875,-0.003303109377156943,0.5305598732084036,2.076846517622471,0.096923828125,0.002586102607892826,2.145316892901315,1085,0.0,0.0,0.0
100,354,42.1125,421.125,-0.0017393226298736408,1.5216415785253048,2.066322311758995,0.0980224609375,0.0022305803722701967,2.1479740966978182,1065,0.5617556381225586,1.813483682870865,0.44517578125
110,388,47.7625,477.625,-0.0013342303573153913,1.992166191805154,2.091875549405813,0.1072998046875,0.003044903394766152,2.1432867257263375,1139,0.5928017038106919,1.9654360485076905,0.432939453125
120,422,54.89375,548.9375,-0.002075169060844928,0.4165891637094319,2.1255054101347923,0.1536865234375,0.0027455182425910607,2.1685264168611806,1122,0.5776480615139008,2.214910289645195,0.427294921875
130,455,56.93125,569.3125,-0.0005072496423963457,0.37759227911010385,2.1114603355526924,0.081298828125,0.0024108144571073353,2.1438607004885353,1012,0.5788180297613144,2.2227379482984544,0.4319873046875
140,492,60.51875,605.1875,-0.0026968812162522227,5.836732028983533,2.125018298625946,0.1077880859375,0.003247415501391515,2.172867045524119,1161,0.5745513212680816,2.3273757296800612,0.4320556640625
150,528,58.9375,589.375,-0.0003303376433905214,1.9259762363508344,2.110742375254631,0.1385498046875,0.0040709131135372445,2.1645087445844657,1115,0.5837082350254059,2.3432259756326674,0.4340625
160,563,56.03125,560.3125,-0.0033896257664309815,1.1661167806014419,2.066487893462181,0.11376953125,0.003888484847266227,2.1523446211163266,1147,0.5994274365901947,2.283141525387764,0.4353564453125
170,596,54.475,544.75,-0.0030457126085821074,1.9513746539596468,2.112402342259884,0.1202392578125,0.0035254122340120375,2.159106087967193,1206,0.5968781358003616,2.353742980957031,0.442646484375
180,633,54.4375,544.375,-0.00524002083693631,0.43079669773578644,2.112544357776642,0.1534423828125,0.005505062450538389,2.1675363138071995,1151,0.6033212381601334,2.5108943819999694,0.4367333984375
190,667,52.225,522.25,-0.002408352927886881,1.3797241640277207,2.153424311429262,0.1221923828125,0.0036459446273511276,2.1605688655303688,1144,0.6268987166881561,2.5154760986566544,0.4281201171875
200,705,51.7125,517.125,-0.0010064202651847154,5.771130224922672,2.114217758178711,0.112060546875,0.0022045679215807468,2.141019462180897,1111,0.640963101387024,2.49083102285862,0.419990234375
210,745,50.25625,502.5625,-0.0033663333306321874,0.47282955329865217,2.1042110323905945,0.1483154296875,0.002357466975809075,2.172975507373745,1029,0.6629099851846695,2.3540064769983293,0.4190234375
220,782,46.51875,465.1875,-0.005172424775082618,0.635795259848237,2.0929038412868977,0.132080078125,0.0031850312370806932,2.1405040022189343,1081,0.6929670661687851,2.1490396630764006,0.4212744140625
230,818,47.10625,471.0625,-0.004167760125710629,1.1823591864667833,2.1128908805549145,0.1611328125,0.0046524480858352035,2.1720468276226756,1195,0.7086376380920411,2.117178134918213,0.428076171875
240,852,48.81875,488.1875,-0.003697332984302193,2.2487624045461416,2.122331202030182,0.133544921875,0.003703133581439033,2.1823092805826394,1182,0.7311147129535676,2.0178077840805053,0.4361181640625
250,885,53.475,534.75,-0.003335358989716042,1.2422597324475646,2.093938611447811,0.1041259765625,0.0025481846096226946,2.1674178387118563,1182,0.735637469291687,2.0011045289039613,0.4419482421875
260,920,57.53125,575.3125,-0.003837091164314188,0.6602651458233595,2.0935979522764683,0.1566162109375,0.00435952992120292,2.1720127263082163,1170,0.7323079878091812,2.0499432671070097,0.4433935546875
270,955,59.85625,598.5625,-0.0024297255149576813,2.5157950315624475,2.0860579796135426,0.1422119140625,0.0037132576253497973,2.181456854809051,1187,0.7353858363628387,2.052057707309723,0.4405224609375
280,991,60.64375,606.4375,-0.0025648893788456917,1.3409704710356891,2.091187957674265,0.1568603515625,0.004903088934952393,2.17845657278629,988,0.7471383160352707,1.9386069369316101,0.4387158203125
290,1025,59.58125,595.8125,-0.005568182183196768,1.2997211823239923,2.0634529776871204,0.1602783203125,0.0065499454794917256,2.1640650238546875,1239,0.7625640118122101,1.9076925253868102,0.441650390625
300,1058,61.525,615.25,-0.0023351762210950255,1.1606608349829912,2.060093741863966,0.0894775390625,0.0018522502505220473,2.1863329897481076,962,0.7782922798395157,1.9537867414951324,0.4465576171875
310,1093,60.09375,600.9375,-0.0037564920203294605,6.099597745575011,2.09779504314065,0.1544189453125,0.0059150826127734035,2.1576571731074075,1113,0.791094508767128,1.991214017868042,0.437841796875
320,1126,62.38125,623.8125,-0.0024117826542351395,9.105612933635712,2.06855508685112,0.172607421875,0.004972094335244037,2.1767633154465935,1250,0.7831851512193679,2.1518821465969085,0.4359716796875
330,1157,64.06875,640.6875,-0.002108190907165408,9.274390656501055,2.057542394846678,0.140625,0.004313345125410706,2.163553603692488,1206,0.7813522332906723,2.179252539873123,0.430625
340,1189,65.41875,654.1875,-0.0036313928867457435,0.9713917225599289,2.0649359077215195,0.1282958984375,0.0045596241689054295,2.1928656163902343,1126,0.7818598592281342,2.1765146124362946,0.4212158203125
350,1228,61.74375,617.4375,-0.006279078632360324,1.588881766423583,2.100390452891588,0.1475830078125,0.005443443820695393,2.1825473373926667,1120,0.7915679442882538,2.153633759021759,0.4134326171875
360,1259,62.7375,627.375,-0.003937031724490225,5.565242035314441,2.032554602250457,0.1268310546875,0.003938225025194697,2.151984636882819,1390,0.7972474730014801,2.1568706929683685,0.4163525390625
370,1292,60.7375,607.375,-0.004709689819719642,0.9799647440668195,2.1038952991366386,0.1776123046875,0.003848809952614829,2.180676218606325,1053,0.8007152336835861,2.160751390457153,0.4132666015625
380,1322,60.9875,609.875,-0.0011518882820382714,6.336834283545613,2.1323367096483707,0.1153564453125,0.004115250558243133,2.1815251598786993,1159,0.8003254210948945,2.2259988629817964,0.414248046875
390,1354,63.54375,635.4375,-0.004243227172992192,7.696859661489725,2.097933754324913,0.141357421875,0.004124644954572432,2.1927626654105365,1263,0.789123609662056,2.308522833585739,0.4134521484375
400,1388,66.75625,667.5625,-0.00025983266823459417,2.4811326563358307,2.080069564282894,0.1300048828125,0.0046127079403959215,2.1722924711485803,1185,0.7812080067396164,2.3071465718746187,0.4122705078125
410,1421,66.93125,669.3125,-0.005989609911921434,1.7843716694042087,2.1156155690550804,0.1171875,0.0034672206093091518,2.1793243109738696,1193,0.7750203108787537,2.3203980469703676,0.4178466796875
420,1453,66.9125,669.125,-0.0024523011525161564,8.06905079819262,2.0937612913548946,0.1573486328125,0.004952788032824174,2.174280727204948,1240,0.7817281407117843,2.236001389026642,0.4165673828125
430,1486,66.05,660.5,-0.0011581320140976459,7.366151524707675,2.1082848496735096,0.1285400390625,0.00382466014707461,2.1736859120728544,1286,0.7895039427280426,2.22282418012619,0.42115234375
440,1515,67.64375,676.4375,-0.003950051526771858,2.6422621086239815,2.0671215057373047,0.140625,0.002910654977313243,2.1675173212907795,1230,0.7925082933902741,2.246149275302887,0.4264013671875
450,1548,68.6375,686.375,-0.005957652727374807,6.18334499374032,2.0319460351020098,0.1474609375,0.004490468549192883,2.1788975508093538,1161,0.7907464784383774,2.3087365257740022,0.4333935546875
460,1569,68.81875,688.1875,-0.0018110328528564423,29.456596257165074,2.07484470307827,0.1429443359375,0.0044802090706070885,2.1860085684783015,1339,0.7777404952049255,2.346466977596283,0.4325390625
470,1603,75.075,750.75,-0.006126842330559157,1.4987472472712398,2.077512100338936,0.165283203125,0.0034978292387677357,2.1791501850626065,1222,0.7756667578220368,2.381328914165497,0.43529296875
480,1633,78.91875,789.1875,-0.0022237179946387187,1.274157539010048,2.0724807754158974,0.162841796875,0.004580824228469282,2.1696613490072756,1210,0.7746103143692017,2.465519087314606,0.4392822265625
490,1663,82.53125,825.3125,-0.007059385083266534,1.0832731761038303,2.056791864335537,0.1944580078125,0.005081762472400442,2.16679390322648,1275,0.7778208124637603,2.470924166440964,0.4397802734375
