episode,reward,steps,epsilon
1,190.0,349,0.995
2,300.0,551,0.990025
3,310.0,567,0.985074875
4,220.0,493,0.9801495006250001
5,200.0,511,0.9752487531218751
6,300.0,471,0.9703725093562657
7,380.0,647,0.9655206468094844
8,380.0,543,0.960693043575437
9,210.0,463,0.9558895783575597
10,210.0,403,0.9511101304657719
11,270.0,437,0.946354579813443
12,330.0,547,0.9416228069143757
13,210.0,529,0.9369146928798039
14,150.0,357,0.9322301194154049
15,210.0,521,0.9275689688183278
16,290.0,501,0.9229311239742362
17,280.0,471,0.918316468354365
18,250.0,551,0.9137248860125932
19,190.0,345,0.9091562615825302
20,240.0,533,0.9046104802746175
21,270.0,541,0.9000874278732445
22,540.0,605,0.8955869907338783
23,200.0,427,0.8911090557802088
24,200.0,483,0.8866535105013078
25,290.0,513,0.8822202429488013
26,240.0,455,0.8778091417340573
27,270.0,569,0.8734200960253871
28,180.0,441,0.8690529955452602
29,230.0,557,0.8647077305675338
30,220.0,447,0.8603841919146962
31,220.0,475,0.8560822709551227
32,280.0,483,0.851801859600347
33,140.0,443,0.8475428503023453
34,270.0,457,0.8433051360508336
35,350.0,561,0.8390886103705794
36,310.0,539,0.8348931673187264
37,250.0,477,0.8307187014821328
38,250.0,497,0.8265651079747222
39,520.0,643,0.8224322824348486
40,250.0,483,0.8183201210226743
41,340.0,579,0.8142285204175609
42,1310.0,791,0.810157377815473
43,350.0,561,0.8061065909263957
44,270.0,463,0.8020760579717637
45,240.0,421,0.798065677681905
46,300.0,487,0.7940753492934954
47,260.0,475,0.7901049725470279
48,180.0,445,0.7861544476842928
49,580.0,681,0.7822236754458713
50,300.0,595,0.778312557068642
51,220.0,465,0.7744209942832988
52,280.0,415,0.7705488893118823
53,320.0,547,0.7666961448653229
54,580.0,695,0.7628626641409962
55,290.0,541,0.7590483508202912
56,260.0,447,0.7552531090661897
57,260.0,427,0.7514768435208588
58,410.0,583,0.7477194593032545
59,260.0,435,0.7439808620067382
60,370.0,549,0.7402609576967045
61,120.0,365,0.736559652908221
62,380.0,517,0.7328768546436799
63,230.0,415,0.7292124703704616
64,230.0,519,0.7255664080186093
65,190.0,349,0.7219385759785162
66,240.0,419,0.7183288830986236
67,410.0,689,0.7147372386831305
68,180.0,433,0.7111635524897149
69,220.0,429,0.7076077347272662
70,100.0,405,0.7040696960536299
71,160.0,367,0.7005493475733617
72,500.0,623,0.697046600835495
73,200.0,463,0.6935613678313175
74,220.0,441,0.6900935609921609
75,340.0,509,0.6866430931872001
76,970.0,651,0.6832098777212641
77,410.0,561,0.6797938283326578
78,450.0,655,0.6763948591909945
79,270.0,517,0.6730128848950395
80,170.0,397,0.6696478204705644
81,310.0,553,0.6662995813682115
82,610.0,723,0.6629680834613705
83,260.0,443,0.6596532430440636
84,300.0,469,0.6563549768288433
85,250.0,431,0.653073201944699
86,240.0,415,0.6498078359349755
87,290.0,671,0.6465587967553006
88,230.0,409,0.6433260027715241
89,340.0,513,0.6401093727576664
90,350.0,551,0.6369088258938781
91,370.0,647,0.6337242817644086
92,310.0,509,0.6305556603555866
93,740.0,701,0.6274028820538087
94,210.0,391,0.6242658676435396
95,240.0,551,0.6211445383053219
96,210.0,453,0.6180388156137953
97,230.0,397,0.6149486215357263
98,290.0,555,0.6118738784280476
99,230.0,481,0.6088145090359074
100,360.0,621,0.6057704364907278
101,260.0,513,0.6027415843082742
102,230.0,513,0.5997278763867329
103,740.0,635,0.5967292370047992
104,280.0,517,0.5937455908197752
105,150.0,413,0.5907768628656763
106,430.0,779,0.5878229785513479
107,170.0,461,0.5848838636585911
108,320.0,509,0.5819594443402982
109,320.0,527,0.5790496471185967
110,320.0,549,0.5761543988830038
111,370.0,639,0.5732736268885887
112,340.0,523,0.5704072587541458
113,340.0,549,0.567555222460375
114,300.0,497,0.5647174463480732
115,380.0,629,0.5618938591163328
116,710.0,719,0.5590843898207511
117,400.0,523,0.5562889678716474
118,330.0,583,0.5535075230322891
119,550.0,641,0.5507399854171277
120,370.0,545,0.547986285490042
121,390.0,573,0.5452463540625918
122,300.0,505,0.5425201222922789
123,280.0,579,0.5398075216808175
124,290.0,541,0.5371084840724134
125,240.0,511,0.5344229416520513
126,420.0,545,0.531750826943791
127,260.0,533,0.5290920728090721
128,430.0,627,0.5264466124450268
129,1040.0,715,0.5238143793828016
130,360.0,479,0.5211953074858876
131,650.0,689,0.5185893309484582
132,300.0,531,0.5159963842937159
133,700.0,605,0.5134164023722473
134,260.0,499,0.510849320360386
135,260.0,537,0.5082950737585841
136,260.0,505,0.5057535983897912
137,290.0,469,0.5032248303978422
138,420.0,541,0.500708706245853
139,290.0,539,0.4982051627146237
140,450.0,699,0.49571413690105054
141,340.0,585,0.4932355662165453
142,450.0,619,0.4907693883854626
143,1030.0,717,0.4883155414435353
144,300.0,553,0.4858739637363176
145,1020.0,675,0.483444593917636
146,310.0,573,0.4810273709480478
147,440.0,555,0.47862223409330756
148,1010.0,633,0.47622912292284103
149,510.0,627,0.4738479773082268
150,430.0,637,0.47147873742168567
151,290.0,527,0.46912134373457726
152,220.0,535,0.46677573701590436
153,730.0,763,0.46444185833082485
154,330.0,563,0.46211964903917074
155,470.0,695,0.4598090507939749
156,450.0,619,0.457510005540005
157,220.0,435,0.45522245551230495
158,590.0,727,0.4529463432347434
159,190.0,437,0.4506816115185697
160,300.0,549,0.4484282034609769
161,440.0,757,0.446186062443672
162,280.0,469,0.4439551321314536
163,510.0,677,0.4417353564707963
164,250.0,505,0.43952667968844233
165,620.0,663,0.43732904629000013
166,280.0,517,0.4351424010585501
167,260.0,523,0.43296668905325736
168,140.0,433,0.43080185560799106
169,1080.0,635,0.4286478463299511
170,510.0,723,0.42650460709830135
171,560.0,607,0.42437208406280985
172,210.0,479,0.4222502236424958
173,470.0,585,0.42013897252428334
174,420.0,619,0.4180382776616619
175,170.0,483,0.4159480862733536
176,760.0,709,0.41386834584198684
177,460.0,699,0.4117990041127769
178,450.0,607,0.40974000909221303
179,1810.0,713,0.40769130904675194
180,450.0,697,0.40565285250151817
181,280.0,549,0.4036245882390106
182,420.0,617,0.4016064652978155
183,340.0,599,0.3995984329713264
184,260.0,557,0.3976004408064698
185,610.0,715,0.39561243860243744
186,260.0,615,0.3936343764094253
187,300.0,545,0.39166620452737816
188,380.0,567,0.3897078735047413
189,310.0,453,0.3877593341372176
190,500.0,771,0.3858205374665315
191,1200.0,793,0.38389143477919885
192,690.0,683,0.3819719776053028
193,310.0,675,0.3800621177172763
194,620.0,657,0.37816180712868996
195,510.0,653,0.37627099809304654
196,310.0,609,0.3743896431025813
197,270.0,489,0.37251769488706843
198,770.0,653,0.3706551064126331
199,270.0,527,0.36880183088056995
200,420.0,777,0.3669578217261671
201,250.0,517,0.36512303261753626
202,540.0,743,0.3632974174544486
203,280.0,533,0.3614809303671764
204,250.0,537,0.3596735257153405
205,310.0,557,0.3578751580867638
206,430.0,591,0.35608578229633
207,530.0,629,0.3543053533848483
208,550.0,727,0.35253382661792404
209,600.0,565,0.3507711574848344
210,490.0,581,0.34901730169741024
211,1070.0,759,0.3472722151889232
212,670.0,631,0.3455358541129786
